Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,CC/AM,CC/CBD,Active_Surface
1.0,93.0,7.0,49.0,50.0,50.0,80.8,1.0,36.309999999999995,1.7129999999999999,34.91,24.73,41.39999999999999
1.0,93.0,7.0,50.0,50.0,50.0,79.1,1.0,39.75,1.7019999999999995,39.22,23.389999999999997,40.89999999999999
1.0,94.0,6.0,45.0,50.0,50.0,88.5,1.0,10.668000000000003,1.8890000000000005,33.11999999999999,20.85,49.699999999999996
1.0,94.0,6.0,46.0,50.0,50.0,86.8,1.0,12.959999999999997,1.842,35.099999999999994,20.54,47.699999999999996
1.0,94.0,6.0,47.0,50.0,50.0,85.1,1.0,13.66,1.8270000000000004,37.559999999999995,20.07,47.10000000000001
1.0,94.0,6.0,48.0,50.0,50.0,83.4,1.0,16.720000000000002,1.777,35.13,21.779999999999998,45.199999999999996
1.0,94.0,6.0,49.0,50.0,50.0,81.6,1.0,21.93,1.736,37.3,21.169999999999998,43.300000000000004
1.0,94.0,6.0,50.0,50.0,50.0,79.9,1.0,30.68999999999999,1.6989999999999998,39.339999999999996,21.270000000000003,41.39999999999999
1.0,95.0,5.0,45.0,50.0,50.0,89.4,1.0,8.610000000000001,1.9169999999999998,34.61,17.64,51.8
1.0,95.0,5.0,46.0,50.0,50.0,87.6,1.0,9.812999999999999,1.8679999999999999,37.239999999999995,17.650000000000002,49.800000000000004
1.0,95.0,5.0,47.0,50.0,50.0,85.9,1.0,11.78,1.8189999999999997,38.72,17.199999999999996,47.800000000000004
1.0,95.0,5.0,48.0,50.0,50.0,84.2,1.0,12.16,1.807,38.93,17.71,47.199999999999996
1.0,95.0,5.0,49.0,50.0,50.0,82.5,1.0,15.13,1.7619999999999998,40.42,18.119999999999997,45.27
1.0,95.0,5.0,50.0,50.0,50.0,80.8,1.0,19.43,1.721,38.809999999999995,18.65,43.300000000000004
1.0,96.0,4.0,45.0,50.0,50.0,90.2,1.0,6.982000000000001,1.9419999999999997,39.07000000000001,13.700000000000003,54.0
1.0,96.0,4.0,46.0,50.0,50.0,88.5,1.0,7.886,1.8960000000000001,39.27,14.12,51.89999999999999
1.0,96.0,4.0,47.0,50.0,50.0,86.8,1.0,9.001999999999999,1.846,39.17999999999999,14.820000000000002,49.800000000000004
1.0,96.0,4.0,48.0,50.0,50.0,85.0,1.0,9.678,1.828,40.36,14.660000000000002,49.27
1.0,96.0,4.0,49.0,50.0,50.0,83.3,1.0,11.750000000000002,1.7869999999999997,41.150000000000006,14.830000000000002,47.300000000000004
1.0,96.0,4.0,50.0,50.0,50.0,81.6,1.0,14.219999999999999,1.7400000000000002,40.82000000000001,15.719999999999999,45.300000000000004
11.0,93.0,7.0,45.0,50.0,50.0,87.9,1.0,13.260000000000002,1.8650000000000002,32.489999999999995,23.43,47.89999999999999
11.0,93.0,7.0,46.0,50.0,50.0,86.3,1.0,14.12,1.8479999999999996,34.83,22.229999999999997,47.300000000000004
11.0,93.0,7.0,47.0,50.0,50.0,84.6,1.0,18.0,1.8060000000000003,33.57,23.439999999999994,45.40999999999999
11.0,93.0,7.0,48.0,50.0,50.0,83.0,1.0,23.110000000000007,1.765,34.36,23.389999999999997,43.60000000000001
11.0,93.0,7.0,49.0,50.0,50.0,81.3,1.0,24.709999999999997,1.752,36.129999999999995,23.21,43.10000000000001
11.0,93.0,7.0,50.0,50.0,50.0,79.7,1.0,37.059999999999995,1.7109999999999999,33.22,25.580000000000002,41.300000000000004
11.0,94.0,6.0,45.0,50.0,50.0,88.8,1.0,10.256,1.9,36.67,19.05,49.919999999999995
11.0,94.0,6.0,46.0,50.0,50.0,87.1,1.0,10.754000000000001,1.8830000000000002,36.71,18.78,49.300000000000004
11.0,94.0,6.0,47.0,50.0,50.0,85.5,1.0,13.459999999999999,1.832,35.58,20.67,47.39999999999999
11.0,94.0,6.0,48.0,50.0,50.0,83.8,1.0,15.55,1.791,35.269999999999996,21.79,45.580000000000005
11.0,94.0,6.0,49.0,50.0,50.0,82.2,1.0,17.16,1.778,38.190000000000005,20.699999999999996,45.010000000000005
11.0,94.0,6.0,50.0,50.0,50.0,80.5,1.0,21.229999999999997,1.736,36.05,22.1,43.199999999999996
11.0,95.0,5.0,45.0,50.0,50.0,89.6,1.0,8.212,1.9259999999999997,37.78,16.68,52.05
11.0,95.0,5.0,46.0,50.0,50.0,88.0,1.0,9.620000000000001,1.8780000000000001,38.87,17.130000000000003,50.10000000000001
11.0,95.0,5.0,47.0,50.0,50.0,86.3,1.0,10.178999999999998,1.859,36.839999999999996,18.04,49.489999999999995
11.0,95.0,5.0,48.0,50.0,50.0,84.7,1.0,12.190000000000001,1.8150000000000002,37.76,17.98,47.60000000000001
11.0,95.0,5.0,49.0,50.0,50.0,83.0,1.0,13.1,1.8030000000000002,40.839999999999996,17.03,47.07000000000001
11.0,95.0,5.0,50.0,50.0,50.0,81.4,1.0,15.91,1.765,37.65,18.86,45.18999999999999
11.0,96.0,4.0,45.0,50.0,50.0,90.4,1.0,6.8069999999999995,1.9479999999999997,37.45,14.09,54.2
11.0,96.0,4.0,46.0,50.0,50.0,88.8,1.0,7.687,1.8969999999999998,39.18000000000001,14.27,52.2
11.0,96.0,4.0,47.0,50.0,50.0,87.2,1.0,7.976000000000001,1.888,41.150000000000006,13.870000000000001,51.60000000000001
11.0,96.0,4.0,48.0,50.0,50.0,85.5,1.0,9.367,1.843,40.949999999999996,14.320000000000002,49.60000000000001
11.0,96.0,4.0,49.0,50.0,50.0,83.9,1.0,10.879999999999999,1.795,40.18,15.14,47.660000000000004
11.0,96.0,4.0,50.0,50.0,50.0,82.2,1.0,11.73,1.781,42.29,14.309999999999999,47.199999999999996
21.0,93.0,7.0,45.0,50.0,50.0,88.3,1.0,11.760000000000002,1.908,33.61,22.04,49.5
21.0,93.0,7.0,46.0,50.0,50.0,86.7,1.0,13.65,1.861,33.839999999999996,22.490000000000002,47.699999999999996
21.0,93.0,7.0,47.0,50.0,50.0,85.1,1.0,14.190000000000003,1.846,33.46,23.540000000000003,47.150000000000006
21.0,93.0,7.0,48.0,50.0,50.0,83.6,1.0,18.02,1.8080000000000003,34.91000000000001,23.03,45.39999999999999
21.0,93.0,7.0,49.0,50.0,50.0,82.0,1.0,23.14,1.766,34.809999999999995,23.73,43.60000000000001
